Date,Close,bol_upp,bol_mid,bol_low,macd_line,macd_signal,macd_histogram,rsi_val,y,diff,1hot
2011-12-14,741.7,841.814,782.55,723.286,-22.032,-17.329,-4.703,33.453,748.7,7.0,1.0
2011-12-15,748.7,829.685,777.537,725.39,-22.106,-18.284,-3.822,37.881,723.0,-25.700000000000045,0.0
2011-12-16,723.0,828.236,773.155,718.074,-23.963,-19.42,-4.543,29.551,735.85,12.850000000000023,1.0
2011-12-19,735.85,824.46,769.545,714.63,-24.119,-20.36,-3.759,37.482,713.55,-22.300000000000068,0.0
2011-12-20,713.55,825.513,765.88,706.247,-25.746,-21.437,-4.309,30.587,747.25,33.700000000000045,1.0
2011-12-21,747.25,822.022,763.49,704.958,-24.038,-21.957,-2.081,47.445,754.75,7.5,1.0
2011-12-22,754.75,820.988,762.54,704.092,-21.828,-21.931,0.103,50.53,746.45,-8.299999999999955,0.0
2011-12-23,746.45,819.752,761.152,702.553,-20.51,-21.647,1.137,47.007,760.95,14.5,1.0
2011-12-26,760.95,820.003,761.5,702.997,-18.087,-20.935,2.848,53.538,753.25,-7.7000000000000455,0.0
2011-12-27,753.25,817.722,760.012,702.303,-16.597,-20.068,3.471,49.779,738.55,-14.700000000000045,0.0
2011-12-28,738.55,817.126,758.69,700.254,-16.413,-19.337,2.924,43.111,712.9,-25.649999999999977,0.0
2011-12-29,712.9,816.43,755.395,694.36,-18.128,-19.095,0.967,33.954,692.9,-20.0,0.0
2011-12-30,692.9,813.668,750.115,686.562,-20.86,-19.448,-1.412,28.507,706.95,14.050000000000068,1.0
2012-01-02,706.95,804.441,744.922,685.404,-21.642,-19.887,-1.756,36.734,723.7,16.75,1.0
2012-01-03,723.7,793.115,740.74,688.365,-20.672,-20.044,-0.628,45.38,716.0,-7.7000000000000455,0.0
2012-01-04,716.0,778.434,736.08,693.726,-20.291,-20.093,-0.198,42.313,699.25,-16.75,0.0
2012-01-05,699.25,772.34,732.082,691.825,-21.097,-20.294,-0.803,36.176,716.9,17.649999999999977,1.0
2012-01-06,716.9,769.38,730.155,690.93,-20.081,-20.251,0.171,45.744,714.7,-2.199999999999932,0.0
2012-01-07,714.7,769.319,729.495,689.671,-19.231,-20.047,0.817,44.779,706.95,-7.75,0.0
2012-01-09,706.95,768.252,727.712,687.173,-18.964,-19.831,0.867,41.241,735.15,28.199999999999932,1.0
2012-01-10,735.15,767.553,727.385,687.217,-16.289,-19.122,2.833,55.877,748.35,13.200000000000045,1.0
2012-01-11,748.35,767.497,727.367,687.238,-12.955,-17.889,4.934,61.11,737.55,-10.800000000000068,0.0
2012-01-12,737.55,768.418,728.095,687.772,-11.057,-16.522,5.466,54.957,732.05,-5.5,0.0
2012-01-13,732.05,768.11,727.905,687.7,-9.882,-15.194,5.312,51.888,713.4,-18.649999999999977,0.0
2012-01-16,713.4,768.113,727.897,687.682,-10.337,-14.223,3.886,42.582,740.35,26.950000000000045,1.0
2012-01-17,740.35,767.184,727.552,687.921,-8.426,-13.063,4.638,55.799,776.9,36.549999999999955,1.0
2012-01-18,776.9,772.505,728.66,684.815,-3.916,-11.234,7.318,67.505,785.15,8.25,1.0
2012-01-19,785.15,780.713,730.595,680.477,0.319,-8.923,9.242,69.601,793.35,8.200000000000045,1.0
2012-01-20,793.35,788.214,732.215,676.216,4.288,-6.281,10.569,71.696,771.0,-22.350000000000023,0.0
2012-01-23,771.0,791.034,733.102,675.171,5.566,-3.912,9.478,58.927,783.15,12.149999999999977,1.0
2012-01-24,783.15,797.431,735.332,673.234,7.473,-1.635,9.108,63.054,790.1,6.9500000000000455,1.0
2012-01-25,790.1,804.912,739.192,673.473,9.436,0.579,8.857,65.352,817.6,27.5,1.0
2012-01-27,817.6,816.127,745.427,674.728,13.06,3.076,9.985,73.015,795.45,-22.149999999999977,0.0
2012-01-30,795.45,821.484,749.852,678.221,13.984,5.257,8.727,60.566,815.45,20.0,1.0
2012-01-31,815.45,830.627,754.44,678.253,16.144,7.435,8.709,66.514,830.3,14.849999999999909,1.0
2012-02-01,830.3,841.194,760.155,679.116,18.837,9.715,9.122,70.346,828.6,-1.6999999999999318,0.0
2012-02-02,828.6,847.841,766.622,685.404,20.596,11.891,8.705,69.299,837.75,9.149999999999977,1.0
2012-02-03,837.75,856.256,772.665,689.074,22.47,14.007,8.463,71.898,832.75,-5.0,0.0
2012-02-06,832.75,861.594,778.567,695.541,23.283,15.862,7.421,68.255,844.75,12.0,1.0
2012-02-07,844.75,866.302,785.457,704.613,24.612,17.612,7.0,72.161,858.05,13.299999999999955,1.0
2012-02-08,858.05,874.99,791.602,708.215,26.434,19.377,7.057,75.946,852.65,-5.399999999999977,0.0
2012-02-09,852.65,881.845,796.817,711.79,27.129,20.927,6.202,71.398,842.15,-10.5,0.0
2012-02-10,842.15,884.556,802.047,719.539,26.527,22.047,4.48,62.942,848.15,6.0,1.0
2012-02-13,848.15,885.838,807.852,729.867,26.232,22.884,3.348,65.626,848.15,0.0,0.0
2012-02-14,848.15,880.577,814.59,748.603,25.701,23.448,2.254,65.626,836.05,-12.100000000000023,0.0
2012-02-15,836.05,875.895,819.375,762.855,24.028,23.564,0.464,54.941,812.15,-23.899999999999977,0.0
2012-02-16,812.15,874.171,821.137,768.104,20.536,22.958,-2.422,40.071,817.9,5.75,1.0
2012-02-17,817.9,873.082,822.775,772.468,18.025,21.971,-3.946,44.259,841.8,23.899999999999977,1.0
2012-02-21,841.8,874.188,825.197,776.207,17.759,21.129,-3.37,58.251,833.2,-8.599999999999909,0.0
2012-02-22,833.2,870.193,828.307,786.422,16.662,20.236,-3.574,52.753,838.1,4.899999999999977,1.0
2012-02-23,838.1,867.297,831.055,794.813,16.004,19.389,-3.386,55.514,820.35,-17.75,0.0
2012-02-24,820.35,863.791,832.567,801.344,13.889,18.289,-4.4,44.618,781.2,-39.14999999999998,0.0
2012-02-27,781.2,869.079,830.747,792.416,8.952,16.422,-7.47,29.755,796.05,14.849999999999909,1.0
2012-02-28,796.05,868.993,830.777,792.562,6.166,14.371,-8.205,38.693,818.65,22.600000000000023,1.0
2012-02-29,818.65,868.909,830.937,792.966,5.715,12.64,-6.924,49.89,810.35,-8.299999999999955,0.0
2012-03-01,810.35,869.014,829.94,790.866,4.635,11.039,-6.403,46.306,814.35,4.0,1.0
